edition,n,p_fav_mean,elo_entropy,skew_pred,skew_real,upset_rate,ret_mean
1930,18,0.5688290261432111,0.9144204412719298,0.2523022260225748,0.10776508814909859,0.3888888888888889,0.0012856767728878474
1934,17,0.5745817584263685,0.9360835568010525,0.034979775696435046,-0.5684005032990251,0.23529411764705882,0.4213823357323682
1938,18,0.5490836596912928,0.9580506981772005,0.1883955751454651,-0.5231287802013673,0.2777777777777778,0.3442857962769271
1950,22,0.5892440658459344,0.9223872355422356,-0.05668281055360313,0.10398634713499429,0.5,-0.15785257739575
1954,26,0.5202980977887992,0.9945810525971723,0.15348048913705195,-0.436085387892668,0.3076923076923077,0.3850969039457036
1958,35,0.5553094766069088,0.9514663625780605,0.12292919391431797,0.5009391973376577,0.5714285714285714,-0.1631834468142
1962,32,0.5495305923451992,0.9541252489809671,0.2013833821731988,0.10418714528758727,0.4375,-0.012934712857257245
1966,32,0.555284545647313,0.955915956656769,0.12802897275938294,0.07039552281882575,0.40625,0.06726221364352353
1970,32,0.5681717963557529,0.9513143751679677,-0.006049325248209726,-0.35238755072900013,0.34375,0.15811282462848486
1974,38,0.5389598211540184,0.9756853132581914,0.13264201174203463,0.2424679560252032,0.47368421052631576,-0.03630747666707104
1978,38,0.5314596516694771,0.9833750053807342,0.1664731206798872,0.05350961370950038,0.4473684210526316,0.09707754991853657
1982,52,0.5548842636297304,0.9629809234100418,0.036330375533578534,0.11102775738387684,0.4807692307692308,-0.05903263174828562
1986,52,0.5022797744697678,1.0084816762949544,0.24455016345352815,0.07180581496212768,0.4423076923076923,0.09882602819135489
1990,52,0.5417994085338367,0.9703161807131521,0.13509111873328458,0.059378543895629354,0.4423076923076923,0.020790273718453302
1994,52,0.5193884715570724,1.0032112436541403,0.11316408617590176,-0.12667808393413976,0.40384615384615385,0.16364489994613018
1998,64,0.5561680098846916,0.9547845331701893,0.11051816334440488,0.18247075283479822,0.453125,-0.015832482149211964
2002,64,0.5156898620155445,0.9990949987591997,0.2011990703128749,0.3539352874586103,0.515625,-0.06294016342483773
2006,64,0.5606698429823618,0.9516014932611565,0.08631025755091537,-0.2279159463396008,0.34375,0.18153441238880239
2010,64,0.5470738576051718,0.9545666019851183,0.1976510880855313,0.18739099976490714,0.453125,0.005363411549501623
2014,64,0.5451780570893623,0.9634592294608662,0.15320637872196904,-0.16393331188914265,0.375,0.19117102936404892
2018,64,0.5413449745947648,0.9709503711124828,0.1409972854903923,0.04270200339278896,0.4375,0.05324883584598964
2022,64,0.5676643618216575,0.9457518294953942,0.05827263573274888,0.2881482307161353,0.5,-0.13854726459798972
2026,73,0.6134755118021871,0.8794786322235545,-0.01084130379046706,-0.12359795303078479,0.3835616438356164,0.017074940523216776
