family,max_dS,rms_dS
"N(0,σ²) — baseline",0.0,0.0
t-Student ν=5 (cauda média),0.01690606932578813,0.0138538728387109
t-Student ν=3 (cauda pesada),0.031963137851561976,0.026162269101870163
skew-normal α=+4,0.012369836503047682,0.009257302977145474
skew-normal α=−4,0.011337826950502825,0.008544585349568467
uniforme (cauda curta),0.010787068421195367,0.007231182843491883
