Division,year,n,skew_exante,p_fav,fav_win_rate,var,treated
B1,2005,219,0.1688440983191336,0.5252692445708741,0.5525114155251142,0,1
B1,2006,294,0.16579224901316938,0.517952831891506,0.5,0,1
B1,2007,302,0.14083989315667086,0.5279519426255407,0.5463576158940397,0,1
B1,2008,308,0.1846214684660017,0.5166096438978276,0.5162337662337663,0,1
B1,2009,297,0.15419999750496352,0.5309113426314722,0.5488215488215489,0,1
B1,2010,228,0.17182381779126135,0.5173619152372853,0.5394736842105263,0,1
B1,2011,230,0.12698063245894814,0.5264923365147065,0.5304347826086957,0,1
B1,2012,264,0.13938688274045033,0.5308860294754805,0.5113636363636364,0,1
B1,2013,232,0.13382844711737354,0.5346969782317367,0.5517241379310345,0,1
B1,2014,239,0.19619831892123815,0.5151626717375393,0.497907949790795,0,1
B1,2015,241,0.1422916029610862,0.5293522585346678,0.5352697095435685,0,1
B1,2016,239,0.1913631266940434,0.5210097071721639,0.5564853556485355,0,1
B1,2017,240,0.154524564518111,0.5250341977574178,0.48333333333333334,0,1
B1,2018,241,0.12513233781275288,0.5353814193148478,0.5269709543568465,0,1
B1,2019,239,0.09403245708519495,0.5491462998908972,0.5355648535564853,0,1
B1,2020,233,0.13477684254896025,0.5264332400405483,0.51931330472103,1,1
B1,2021,325,0.1737202743901191,0.5100110992481797,0.48307692307692307,1,1
B1,2022,281,0.13325873638709945,0.5293624897290018,0.5836298932384342,1,1
B1,2023,304,0.13347416307664256,0.5287028214454021,0.5526315789473685,1,1
B1,2024,312,0.17047212860617866,0.515704202843761,0.5128205128205128,1,1
B1,2025,152,0.19234651037156947,0.5081350301719868,0.5328947368421053,1,1
D1,2005,306,0.17981874789939162,0.5133499523559627,0.545751633986928,0,1
D1,2006,306,0.20341917075405186,0.5071042719599649,0.4738562091503268,0,1
D1,2007,306,0.22353182335254718,0.5055572975172885,0.5098039215686274,0,1
D1,2008,306,0.16648147983549727,0.5143101511179884,0.5294117647058824,0,1
D1,2009,306,0.13343309327851405,0.5252133774995333,0.4869281045751634,0,1
D1,2010,306,0.19319740754404546,0.5102510507041716,0.4869281045751634,0,1
D1,2011,306,0.1950254956787241,0.512281435096094,0.5065359477124183,0,1
D1,2012,306,0.17822023282559923,0.524431542496592,0.49673202614379086,0,1
D1,2013,305,0.1955816781760667,0.5280784677142735,0.5278688524590164,0,1
D1,2014,307,0.17668426960959954,0.5342561725685503,0.5244299674267101,0,1
D1,2015,306,0.20127291462278502,0.5335116449693705,0.5359477124183006,0,1
D1,2016,297,0.22531153602203505,0.527822404287911,0.5117845117845118,0,1
D1,2017,315,0.2051271128626587,0.5258829086929577,0.5079365079365079,0,1
D1,2018,306,0.2083874322391419,0.5227912546597602,0.5163398692810458,1,1
D1,2019,306,0.1122701146359566,0.5581482661989295,0.5392156862745098,1,1
D1,2020,270,0.16578241552073825,0.5467768363814304,0.5222222222222223,1,1
D1,2021,342,0.14548164286240878,0.544124905453987,0.5146198830409356,1,1
D1,2022,288,0.15293561601531763,0.5355370776690697,0.5277777777777778,1,1
D1,2023,314,0.19594601503944964,0.5331997667289708,0.5445859872611465,1,1
D1,2024,298,0.10336657987059407,0.5550922666798268,0.5570469798657718,1,1
D1,2025,171,0.20478065339624352,0.5320985111031965,0.4678362573099415,1,1
E0,2005,329,0.22871436273994375,0.5135020010689132,0.547112462006079,0,1
E0,2006,394,0.16744014001820084,0.5295880090835599,0.5609137055837563,0,1
E0,2007,371,0.1967348315910508,0.5241546214029068,0.5336927223719676,0,1
E0,2008,379,0.16329712500339502,0.5380877766323947,0.5329815303430079,0,1
E0,2009,378,0.17790839161603514,0.5398342785427053,0.5793650793650794,0,1
E0,2010,374,0.14537244869035,0.548402387225417,0.5213903743315508,0,1
E0,2011,377,0.166670624115583,0.5375114517798762,0.5358090185676393,0,1
E0,2012,391,0.13749268172523024,0.5402739415235756,0.5115089514066496,0,1
E0,2013,372,0.13740794922596486,0.5438423400860934,0.553763440860215,0,1
E0,2014,380,0.15437152705825102,0.5465055560290967,0.5894736842105263,0,1
E0,2015,380,0.20794581909689133,0.5230264299152779,0.4868421052631579,0,1
E0,2016,378,0.17708064796412942,0.5317560301152128,0.5423280423280423,0,1
E0,2017,401,0.1550436489022213,0.566094908940967,0.600997506234414,0,1
E0,2018,371,0.19619447388746072,0.5610046147865155,0.5714285714285714,0,1
E0,2019,379,0.1598089888230086,0.5615092477071345,0.5593667546174143,0,1
E0,2020,336,0.16964895787942316,0.5400130663961263,0.5089285714285714,1,1
E0,2021,408,0.16768511453482388,0.5463778741879223,0.5441176470588235,1,1
E0,2022,361,0.1736727134331099,0.5474228975290195,0.5734072022160664,1,1
E0,2023,412,0.14682810246963426,0.548996150576519,0.5679611650485437,1,1
E0,2024,372,0.12936137899157368,0.5581161965764286,0.553763440860215,1,1
E0,2025,192,0.11115158507884214,0.5536919148771936,0.5833333333333334,1,1
E1,2005,465,0.25707217999636506,0.46833472474709215,0.4344086021505376,0,0
E1,2006,544,0.2737474009474342,0.46343413164498737,0.46691176470588236,0,0
E1,2007,539,0.2634150302897612,0.4669546303422523,0.44712430426716143,0,0
E1,2008,565,0.27602460761880465,0.4610061863448092,0.45309734513274336,0,0
E1,2009,521,0.2731091510686979,0.4658968569379055,0.43570057581573896,0,0
E1,2010,543,0.2834616312729405,0.4648859964425845,0.48250460405156537,0,0
E1,2011,566,0.26410384313598906,0.4719999981383908,0.48056537102473496,0,0
E1,2012,564,0.2678695050449334,0.4671974953289722,0.44148936170212766,0,0
E1,2013,528,0.2914986076232219,0.4593314250115636,0.42424242424242425,0,0
E1,2014,565,0.276749062576104,0.46681987877206166,0.4814159292035398,0,0
E1,2015,551,0.27470096942062294,0.4725517777447557,0.44283121597096187,0,0
E1,2016,551,0.2853232036876301,0.46931338842572434,0.47549909255898365,0,0
E1,2017,566,0.267882374153313,0.4737107602421558,0.4929328621908127,0,0
E1,2018,552,0.27460750887034946,0.47825730989411874,0.45471014492753625,0,0
E1,2019,550,0.26890133571775593,0.4757782319528975,0.48727272727272725,0,0
E1,2020,513,0.3070798591784739,0.46200383019695707,0.4444444444444444,0,0
E1,2021,573,0.3038289643810654,0.46034937506366663,0.4851657940663176,0,0
E1,2022,569,0.2814247875637616,0.4677514753087664,0.46748681898066785,0,0
E1,2023,554,0.24550937263273423,0.4808756523759993,0.4729241877256318,0,0
E1,2024,536,0.2416280545595308,0.49123622733692135,0.48134328358208955,0,0
E1,2025,266,0.2627794274196956,0.4844778969051517,0.48120300751879697,0,0
E2,2005,431,0.25031595782381716,0.4638111254835928,0.41067285382830626,0,0
E2,2006,555,0.27173228050280746,0.4604412555972357,0.44324324324324327,0,0
E2,2007,524,0.26214404153259085,0.4665801173309185,0.4637404580152672,0,0
E2,2008,559,0.2599020014165951,0.46951120258922113,0.481216457960644,0,0
E2,2009,556,0.25676374159276133,0.4771694809606205,0.4856115107913669,0,0
E2,2010,506,0.2566384020419844,0.4808307989822648,0.4743083003952569,0,0
E2,2011,593,0.2648725023500013,0.4668211746564906,0.47048903878583476,0,0
E2,2012,568,0.2725259330104051,0.46779339013477705,0.45774647887323944,0,0
E2,2013,537,0.2790686475741435,0.4663059485514772,0.47113594040968343,0,0
E2,2014,548,0.2883529208177115,0.4646911380250403,0.4653284671532847,0,0
E2,2015,559,0.2937531335612152,0.46421772117716786,0.46869409660107336,0,0
E2,2016,559,0.2956063067545876,0.46127542481009526,0.4740608228980322,0,0
E2,2017,561,0.2826981959803901,0.46774201455842057,0.48128342245989303,0,0
E2,2018,553,0.29434048518689,0.46237746029145954,0.46473779385171793,0,0
E2,2019,508,0.27339068621407747,0.47274572345285415,0.4507874015748031,0,0
E2,2020,372,0.27651425050810424,0.4691633836741063,0.5134408602150538,0,0
E2,2021,598,0.2815696386756128,0.4638527612928649,0.48327759197324416,0,0
E2,2022,556,0.21803512715938583,0.4888544078546653,0.512589928057554,0,0
E2,2023,559,0.24270762813038688,0.48618039451094514,0.5223613595706619,0,0
E2,2024,532,0.19102162062112304,0.49374654278799607,0.5056390977443609,0,0
E2,2025,285,0.21575302619559025,0.49061022740964316,0.47719298245614034,0,0
E3,2005,461,0.2499131732784904,0.4652744347773767,0.4121475054229935,0,0
E3,2006,560,0.2781693008717737,0.457865630812068,0.45,0,0
E3,2007,523,0.2833514646051794,0.4614312816788021,0.4416826003824092,0,0
E3,2008,556,0.2710933281330729,0.46295272100518825,0.4676258992805755,0,0
E3,2009,550,0.27302679224160975,0.464742489229543,0.43636363636363634,0,0
E3,2010,516,0.28508423412918044,0.4625248507715399,0.4437984496124031,0,0
E3,2011,593,0.2724026886897236,0.46179309764317156,0.46037099494097805,0,0
E3,2012,566,0.2629735308622123,0.46631745057811413,0.46113074204946997,0,0
E3,2013,537,0.3271821666153007,0.44184780529005835,0.41527001862197394,0,0
E3,2014,553,0.3516854560152262,0.43681611505659274,0.4358047016274864,0,0
E3,2015,556,0.3000421433342759,0.4573453540388861,0.4658273381294964,0,0
E3,2016,547,0.28545886294508027,0.4655905032715758,0.453382084095064,0,0
E3,2017,575,0.2827718588706527,0.4645098832165496,0.4852173913043478,0,0
E3,2018,549,0.288946522980616,0.4610470752992343,0.45901639344262296,0,0
E3,2019,535,0.3158834396535766,0.4502872709656995,0.4411214953271028,0,0
E3,2020,402,0.3171544185971311,0.4485233781050599,0.44776119402985076,0,0
E3,2021,565,0.3433145760637047,0.43692391413156173,0.4424778761061947,0,0
E3,2022,566,0.3086170135064764,0.45213286411366754,0.47703180212014135,0,0
E3,2023,570,0.26962666181064693,0.4707857380751117,0.4543859649122807,0,0
E3,2024,528,0.22648858515788967,0.4779806572623999,0.4602272727272727,0,0
E3,2025,282,0.25725436724864503,0.4716818106119799,0.42907801418439717,0,0
F1,2005,380,0.28594402839259264,0.4725504378503141,0.49736842105263157,0,1
F1,2006,379,0.2882916776771789,0.47673287522173163,0.48284960422163586,0,1
F1,2007,380,0.2693243594476219,0.47158642534656486,0.45526315789473687,0,1
F1,2008,381,0.25547378256900993,0.4801063874268054,0.4671916010498688,0,1
F1,2009,377,0.24164879808846884,0.49573482524545665,0.53315649867374,0,1
F1,2010,381,0.24851994288625764,0.4942122072484871,0.4409448818897638,0,1
F1,2011,382,0.22226243255542966,0.49484191598342786,0.49476439790575916,0,1
F1,2012,380,0.2476351604984792,0.4951913663570424,0.5236842105263158,0,1
F1,2013,379,0.22234101819619395,0.5044512194869266,0.5277044854881267,0,1
F1,2014,380,0.22916806106484539,0.5076768018805907,0.5236842105263158,0,1
F1,2015,381,0.2545090507306526,0.49733167067736195,0.49343832020997375,0,1
F1,2016,377,0.2512212611172698,0.49825247618952634,0.5411140583554377,0,1
F1,2017,382,0.21575056704213327,0.5277158227901794,0.5549738219895288,0,1
F1,2018,369,0.2089466371017032,0.5284343773836371,0.5067750677506775,0,1
F1,2019,388,0.2597207987962774,0.5040994121773119,0.520618556701031,1,1
F1,2020,260,0.23850270231283482,0.5008991609166377,0.5038461538461538,1,1
F1,2021,400,0.2308747048993049,0.5163108936493797,0.4875,1,1
F1,2022,352,0.1917271491099257,0.5231720791789922,0.5397727272727273,1,1
F1,2023,373,0.14455508813388027,0.5291246589539237,0.5335120643431636,1,1
F1,2024,288,0.19518860905267743,0.5153199945274473,0.5277777777777778,1,1
F1,2025,170,0.09664279881630301,0.5474985615209077,0.5294117647058824,1,1
G1,2006,241,0.17938032716549113,0.5477738396121178,0.5892116182572614,0,1
G1,2007,228,0.16258032505399453,0.5458214257204264,0.5570175438596491,0,1
G1,2008,246,0.18417676570602687,0.5441133039163394,0.524390243902439,0,1
G1,2009,239,0.19499093365206363,0.5324838507438078,0.5732217573221757,0,1
G1,2010,239,0.14093219927337083,0.542862375488013,0.5355648535564853,0,1
G1,2013,269,0.20943162156273548,0.5303748996497027,0.5985130111524164,0,1
G1,2014,274,0.1206216063644418,0.5543426820966944,0.5766423357664233,0,1
G1,2015,262,0.10659686238739952,0.5667968707480945,0.5458015267175572,0,1
G1,2016,213,0.16304480024516335,0.5621290893654427,0.5492957746478874,0,1
G1,2017,256,0.18889031748423657,0.5598340378212852,0.53515625,0,1
G1,2018,230,0.17915031482354277,0.5625466122154282,0.6173913043478261,0,1
G1,2019,231,0.1721591770196679,0.5606462591179283,0.5670995670995671,0,1
G1,2020,214,0.18615196224253766,0.5490961480005454,0.5327102803738317,1,1
G1,2021,255,0.24428202386111664,0.5259863278726111,0.4980392156862745,1,1
I1,2005,302,0.20894091584814464,0.5134225439126775,0.5629139072847682,0,1
I1,2006,387,0.2382514325587341,0.5181840252165408,0.5090439276485789,0,1
I1,2007,368,0.2140199058118293,0.5193540479503997,0.5190217391304348,0,1
I1,2008,382,0.20901727156016592,0.5126628365237617,0.581151832460733,0,1
I1,2009,377,0.20156082514763052,0.5090622857195255,0.5305039787798409,0,1
I1,2010,380,0.20615191034655037,0.5073957582938274,0.5394736842105263,0,1
I1,2011,371,0.19953267003774824,0.5170880405708402,0.5309973045822103,0,1
I1,2012,400,0.1951837785186646,0.513659540328849,0.53,0,1
I1,2013,370,0.17909426364744951,0.5238982163185789,0.5459459459459459,0,1
I1,2014,370,0.16948913056053283,0.5265842430868057,0.5324324324324324,0,1
I1,2015,389,0.18913526919012133,0.519838976327831,0.5012853470437018,0,1
I1,2016,389,0.166481148492727,0.5375633492778503,0.5732647814910026,0,1
I1,2017,390,0.0834685944078862,0.5770847726570011,0.5948717948717949,0,1
I1,2018,382,0.1315791662165999,0.5611930997607231,0.5916230366492147,1,1
I1,2019,359,0.18295139094006085,0.5385551491557319,0.5236768802228412,1,1
I1,2020,349,0.11898031926565772,0.5475855703094407,0.5673352435530086,1,1
I1,2021,431,0.15808657849888189,0.543444002816185,0.580046403712297,1,1
I1,2022,340,0.1568074498942054,0.5401079887143984,0.5264705882352941,1,1
I1,2023,410,0.19393308753146252,0.5182227889440779,0.5317073170731708,1,1
I1,2024,378,0.1927650058698573,0.5240271330061895,0.5132275132275133,1,1
I1,2025,202,0.1588950432651663,0.5317049909253099,0.5346534653465347,1,1
N1,2005,279,0.12314892887580933,0.5380994120460795,0.5806451612903226,0,1
N1,2006,327,0.14402391237987258,0.5453170576976308,0.6024464831804281,0,1
N1,2007,270,0.05053995219868976,0.5664251468426486,0.5481481481481482,0,1
N1,2008,284,0.17512259299771255,0.5347572832080696,0.545774647887324,0,1
N1,2009,310,0.13718236799235717,0.5506107962512774,0.5645161290322581,0,1
N1,2010,316,0.09250058450546017,0.5717033410487176,0.6234177215189873,0,1
N1,2011,292,0.060396780249672516,0.5781638190357471,0.5821917808219178,0,1
N1,2012,315,0.0008168281426085094,0.5893405831583195,0.5365079365079365,0,1
N1,2013,306,0.08708623229091732,0.5583890769364042,0.5,0,1
N1,2014,297,0.0570645611150618,0.5603574270554988,0.5252525252525253,0,1
N1,2015,306,0.10688723726866674,0.5460384383796558,0.5555555555555556,0,1
N1,2016,306,0.13593382859488906,0.5466180187787781,0.5261437908496732,0,1
N1,2017,313,0.09275987461486164,0.5659499787677877,0.6070287539936102,0,1
N1,2018,299,0.09677999788233824,0.5742820496366075,0.5585284280936454,0,1
N1,2019,315,0.06741302015303066,0.5881399344412525,0.5936507936507937,1,1
N1,2020,196,0.060143718417926526,0.576739954018176,0.5612244897959183,1,1
N1,2021,342,0.1255625203916966,0.5630361645428948,0.5467836257309941,1,1
N1,2022,270,0.11729201534556295,0.5703158639358124,0.5481481481481482,1,1
N1,2023,324,0.1164924949238987,0.5736210631229578,0.5895061728395061,1,1
N1,2024,314,0.08440148632935292,0.5828199916414871,0.5859872611464968,1,1
N1,2025,154,0.1457331167136404,0.5531196798321021,0.4935064935064935,1,1
