,ret_fav
2005-01-28,0.2743232603416824
2005-02-12,0.23873135799215484
2005-02-26,0.19019295636491368
2005-03-11,0.19407979643512827
2005-03-20,0.27191586333098083
2005-04-10,0.2593325394611106
2005-04-23,0.2879287916792518
2005-05-07,0.2948744902830485
2005-05-22,0.27202688241626105
2005-08-07,0.2840904433833878
2005-08-20,0.3037433606069878
2005-08-29,0.3221017835882041
2005-09-11,0.25112031614792557
2005-09-21,0.2963872948390268
2005-09-27,0.31154370151048727
2005-10-08,0.19244635295505222
2005-10-21,0.1857715035675538
2005-10-29,0.17053858445632641
2005-11-05,0.1415231701022872
2005-11-19,0.2458947014861752
2005-11-27,0.27846076515219564
2005-12-10,0.2619592308714902
2005-12-17,0.24807162756534987
2005-12-31,0.2258295099825095
2006-01-14,0.2614637757543136
2006-01-21,0.31401318052794525
2006-01-31,0.3359414006921588
2006-02-10,0.3065170323368883
2006-02-18,0.25722801219361646
2006-02-26,0.15938239727549508
2006-03-10,0.1350108482585553
2006-03-18,0.10806443687978927
2006-03-25,0.1388314092540643
2006-04-02,0.21736373639244377
2006-04-10,0.22849232983132578
2006-04-21,0.27344543630297724
2006-04-30,0.21092617219213303
2006-05-07,0.19354579347470838
2006-08-05,0.20163829469701622
2006-08-19,0.17926404974285343
2006-09-01,0.2661242970758345
2006-09-16,0.24893975345243163
2006-09-23,0.23431282728404146
2006-10-01,0.20623348202204736
2006-10-21,0.1702629155705406
2006-10-28,0.1918487532137276
2006-11-06,0.14706565822292617
2006-11-18,0.1675753784013889
2006-12-01,0.16090402277156376
2006-12-09,0.13648619860191594
2006-12-20,0.21575587250089565
2007-01-01,0.2504207300313806
2007-01-20,0.25287109687500264
2007-01-30,0.2688646713549414
2007-02-10,0.22121636984156795
2007-02-23,0.23334775643347988
2007-03-03,0.26368176507247343
2007-03-12,0.2329826475076232
2007-03-30,0.23672203536121877
2007-04-07,0.20950675218706852
2007-04-15,0.16938176009328268
2007-04-27,0.19038797012981407
2007-05-05,0.24716587143112456
2007-05-25,0.2157298581797308
2007-08-13,0.24468275123482564
2007-08-25,0.24981110232359777
2007-09-02,0.17130169032184367
2007-09-16,0.2198613938068027
2007-09-26,0.16447684381240152
2007-10-05,0.16453149961528787
2007-10-20,0.23452765266687464
2007-10-27,0.2555634344065724
2007-11-03,0.30946153596245735
2007-11-11,0.3218684012870447
2007-11-30,0.27285809326996135
2007-12-08,0.2484301362661176
