Division,n,p_fav_dv,var,skew,exkurt,std5,std6,wf_m2,wf_m3,wf_m4,wf_m5,wf_m6,var_pred,skew_pred,exkurt_pred
E3,11090,0.45873702237570063,1.123752148586465,0.29421424974386867,-1.7588262284922953,0.8619593294101623,1.909043334137059,0.9996397833176028,1.0013012174187037,1.0006037158223569,0.999732520352845,0.999880654944651,1.2331834592447162,0.2922738094893381,-1.7595964420852617
F2,7582,0.4593535756386427,1.0966017305549898,0.3046523983374536,-1.7344238543285897,0.9241273091152917,2.0328927026726804,0.9997555805586433,1.0108762746228073,1.0048011179803638,1.0158304108281258,1.013149376076919,1.2308794623221762,0.291417659513215,-1.7583126749692457
SP2,8997,0.4622116932627242,1.088062922929332,0.2953402312298991,-1.739064817512264,0.8987427453009712,2.0066945589736895,0.9998024220166203,1.0147650607567231,1.0061170601991927,1.0211591644537266,1.0168017000341456,1.2201989670496054,0.2874488583038306,-1.7523615955734568
ARG,5330,0.4644123392357087,1.0969083704052507,0.31344056990219415,-1.7031636709760285,0.9790429973694762,2.1464655380322024,0.9998949503435364,1.0182783190474298,1.0072532412109283,1.0245318482178034,1.0193047853233106,1.2119753765601777,0.28439302661747223,-1.7477794822283272
I2,8636,0.4646042693042957,1.0837510808785438,0.30329581841581105,-1.719126102463611,0.9381064216798183,2.080569072480844,0.9998010043859339,1.0114258911549967,1.005093785494377,1.0171104898551815,1.014222665777811,1.2112581533875075,0.28412651124318977,-1.7473798516928387
E1,11181,0.4697629442813914,1.0954340457797829,0.2759582803460485,-1.7399995890320488,0.8566850356334992,1.981525279955428,0.9996923187336577,1.0064551606547365,1.0021728354978732,1.0063560013187378,1.0045033186186694,1.1922279952476942,0.27639439907694685,-1.7373310723071684
E2,11019,0.47120234959874535,1.0809619077750552,0.26907666720715334,-1.7440956419692903,0.8388401911374781,1.9646888346806919,0.999635093526218,1.0042171553639108,1.001238413999692,1.0021722511266244,1.0011630035928867,1.1869224019907898,0.27422700433322267,-1.7345392934909394
JAP,4089,0.474003960749702,1.054401746115662,0.2652514465767129,-1.7418220189016211,0.830361088745676,1.9629811646586275,0.999938679929172,1.020274283226114,1.006618582991108,1.0258354017824884,1.0177314696677804,1.1765957698380693,0.2700084585147973,-1.729105467057027
POL,3567,0.47552380237859454,1.0504749471042034,0.2672483132485394,-1.733619771364758,0.8429356468950359,1.9898406787700857,0.9999556550403768,1.022037241528358,1.0071401366186092,1.0280170742045915,1.0193417636229751,1.1711138615990557,0.26767616612605266,-1.726154923669144
MEX,4080,0.4774410726719191,1.0370637905267173,0.26068026359698454,-1.7306706195326738,0.8399578278179822,2.011053022961193,0.9999423006013157,1.0244390294286791,1.0078500920090718,1.0308983020053704,1.0212218420910273,1.1642242927673918,0.2647245868701046,-1.7224322403496741
