year,n,ret_dog,ret_fav,flb_spread,skew_expost,calib_err
2005,6305,-0.12021252973830295,-0.09011736716891355,0.03009516256938939,0.25228976615179294,-0.004089842676492761
2006,6944,-0.15548819124423963,-0.06319268433179723,0.0922955069124424,0.2100148775634649,0.00852195378857773
2007,6577,-0.10411585829405504,-0.07641781967462369,0.027698038619431348,0.23436157621673717,-0.002632911617375888
2008,7141,-0.1103122811931102,-0.03640106427671194,0.07391121691639826,0.187446540607301,0.01206160820850477
2009,7045,-0.1200667139815472,-0.043575585521646545,0.07649112845990065,0.22295982165873982,0.004437796846162689
2010,6901,-0.10459208810317344,-0.037156933777713376,0.06743515432546007,0.21995576876651232,0.006423987282635268
2011,7399,-0.07160697391539397,-0.048405189890525745,0.02320178402486823,0.23944442275794545,-4.066823203902059e-05
2012,10556,-0.07433781735505873,-0.06169098143236074,0.01264683592269799,0.248176837632683,-0.004254881819695966
2013,11721,-0.10896851804453545,-0.040453033017660615,0.06851548502687482,0.21781298534059207,0.0041621656760642
2014,11976,-0.08129425517702073,-0.04824482297929192,0.03304943219772881,0.24469991030252353,-0.00104537301369384
2015,12321,-0.08199009820631442,-0.05074831588345103,0.03124178232286339,0.2484886032503001,-0.0021547329218575273
2016,12095,-0.11968664737494833,-0.0402199255890864,0.07946672178586192,0.2214616616879606,0.0035454713670225457
2017,12354,-0.10659138740488912,-0.043499271491015054,0.06309211591387406,0.22454503148660254,-7.101765732875354e-05
2018,12037,-0.09656808174794383,-0.03443632134252721,0.062131760405416625,0.20294453926325678,0.0064240976649355686
2019,11980,-0.09485559265442403,-0.051587646076794655,0.043267946577629376,0.24139740579486177,-0.001203929946659632
2020,9549,-0.06076447795580689,-0.047194470625196355,0.013570007330610534,0.2502338582297148,-0.0006638502480204034
2021,13124,-0.1085103626943005,-0.04481408107284365,0.06369628162145685,0.24454774916158104,0.002481869779329182
2022,12157,-0.08698280825861641,-0.04324586657892572,0.043736941679690694,0.22653603688286403,0.004514327738922519
2023,12469,-0.13894217659796293,-0.03584890528510706,0.10309327131285587,0.209271913232032,0.0071501356816992545
2024,11146,-0.11921406782702315,-0.05682128117710391,0.06239278664991924,0.23449281995082874,-0.003359304157928955
2025,3638,-0.07096756459593183,-0.05108576140736669,0.01988180318856514,0.22129023418655214,-0.0010593647809535867
