competition,n,p_fav_mean,skew_fav,skew_dog
2022-23,664,0.6602984724491793,-0.4937163691196808,1.2945422993580147
2020-21,1171,0.6745369132290877,-0.522872368167013,1.7168617941652886
2021-22,1321,0.6805907671271021,-0.5375227005290607,1.8080676213984972
2019-20,971,0.6905741599918673,-0.5475722574888352,1.9938739435153972
2017-18,1311,0.6906765502849983,-0.5648276503083813,2.052457200528712
2016-17,1309,0.6923895017261252,-0.5551993783167741,2.6459552696038
2012-13,1305,0.6926787826219979,-0.5723991511009899,2.7680157482311687
2018-19,1311,0.6939014482955812,-0.556274912224839,2.1803833201186973
2010-11,1308,0.6939657450759124,-0.5723667356894233,2.7762370087426325
2013-14,1316,0.6941877660683747,-0.5740175039045882,2.517080427669969
2009-10,1311,0.6955015929557653,-0.5797657957659913,2.6036653307446156
2011-12,1074,0.6983322905947815,-0.5994275205012702,2.4868648788440457
2008-09,1315,0.7018556142485117,-0.5953996392615382,2.915873615413794
2015-16,1310,0.7028062360173112,-0.577283589859457,2.937469935608041
2014-15,1310,0.7054919509857291,-0.616594237348021,2.9456943096216577
2007-08,1314,0.7118959792682001,-0.6355369097887857,3.875860049475979
