Division,n,skew_open,skew_close,within_open,within_close,pfav_open,pfav_close,over_open,over_close
B1,1462,0.14292909224749928,0.1446059455219992,1.0527027183659334,1.0533453111468993,0.5254347998266775,0.528389021906467,1.0634518813140423,1.0613259655066458
D1,1530,0.15703133172716996,0.1608616851634736,1.0444552033110037,1.0444811557533111,0.542436733142717,0.5431730293813423,1.0447452686875554,1.0447619154708567
D2,1530,0.2548764862394856,0.2530588251156312,1.01689603536498,1.0173062084654951,0.47113162271398873,0.47378779310443725,1.062614414030829,1.0606798592855424
E0,1520,0.15158590091494525,0.14778315653147472,1.0469853565840992,1.0469946645559034,0.5484497520503648,0.5491347517987206,1.042059200459629,1.040379683929316
E1,2760,0.27866143478699745,0.28246040589148574,1.015406495552016,1.0160233497964557,0.47157180630678863,0.4736032750531642,1.0536884155079154,1.0521690928814786
E2,2607,0.25014318533247726,0.24810142558062806,1.0210852181283,1.022093060633922,0.47917535798655786,0.4818115249207353,1.064451102397641,1.0639346101432892
E3,2643,0.3045999548506034,0.30579420414540004,1.0125570095377192,1.013477818424059,0.4541232602902828,0.45594547497325283,1.0664079868588214,1.0656146546939258
F1,1725,0.21009875103554754,0.2111341497420839,1.032013497106534,1.0324822594357175,0.515964480710939,0.5185449319929566,1.048988071604322,1.048407827778483
F2,1419,0.34688819473646726,0.34017801460541713,1.0132468809341104,1.0148326165543884,0.4480307688672144,0.45297866713460844,1.068945548447601,1.0678621539846715
G1,1199,0.19805078046161678,0.204800870866999,1.0681485262041293,1.0656178617653465,0.5452321735363678,0.5456960308186807,1.0734994914752987,1.0713929159352453
I1,1899,0.16752017365370148,0.17114419073399434,1.0412179464950317,1.041695525570615,0.5350036735678175,0.5370551817087311,1.046780070656669,1.0462450459064585
I2,1891,0.32622806174925445,0.32840028400257704,1.0136239792139035,1.014146010035586,0.45179840169629903,0.453654997093843,1.0676123242005353,1.067056657184254
N1,1456,0.10373713616465839,0.10631597680672225,1.1103639897008801,1.1084189395018753,0.5730383521683018,0.5760671744896949,1.0578128843191277,1.0555384250523088
P1,1530,0.24631285279163112,0.248600115460531,1.0473713584723565,1.0474759962220117,0.5373024055837948,0.5400236604197729,1.060982270376207,1.0589984936898145
SC0,1091,0.24463668896924023,0.23234825710436147,1.052070389719109,1.054571550108811,0.5470181225135448,0.5520928821788201,1.0621543826565856,1.0609845721385993
SC1,812,0.2547594232594285,0.25701957375646084,1.0253369433143196,1.026838422178073,0.4783372480103898,0.48212864621189194,1.0813467489252317,1.0793417421734155
SC2,789,0.16262134263939385,0.1602247433431954,1.061154500714227,1.0693541246390805,0.516586594922282,0.5240089933655877,1.0882727960585306,1.087354857431758
SC3,787,0.2422513389534881,0.24411842301333306,1.0305918584198817,1.0311403092122808,0.4824988402907852,0.4844002315255624,1.0893857147293349,1.0884609995682937
SP1,1900,0.22986549216906602,0.22946869031450157,1.0275577471633033,1.0290200630405746,0.513705997150088,0.5180491721944901,1.0454164398828019,1.0450105256964692
SP2,2310,0.34294438649070463,0.3421691000216219,1.0145182620875515,1.0146808848630127,0.4505707578118873,0.4520752495296194,1.0691974040436454,1.0668385058370293
T1,1799,0.21437259019280447,0.22249815562025071,1.0295673696043026,1.0302220710562664,0.4996418554594165,0.5002777703490878,1.0636130557127321,1.0631555534771726
