phase,n,p_fav_mean,elo_entropy,skew_pred,skew_real,upset_rate,ret_mean
group,786,0.5576476684336652,0.9515154392102225,0.10879413572009651,0.0758766901833143,0.4351145038167939,0.02359320563496019
knockout,251,0.5259690450966348,0.9876581145734558,0.1830581001861515,-0.035900525040486825,0.4103585657370518,0.1250097056165614
