bin,n,p_mid,skew_match,m3_share
"(0.0, 0.42]",60562,0.3868280895399759,0.46474905542448963,1.0000135821858567
"(0.42, 0.46]",33818,0.4393927314843867,0.244229944461547,0.21252998058777764
"(0.46, 0.5]",27989,0.4798466941518671,0.08067878633590728,0.04693883288832794
"(0.5, 0.55]",25330,0.524383116932632,-0.09764864819499372,-0.03639922109248147
"(0.55, 0.65]",34224,0.5929228276266664,-0.37828136926238193,-0.1278207039947362
"(0.65, 1.0]",23512,0.733247097898646,-1.0547911849637597,-0.09526247057474467
