sigma_L,p_fav_exact,skew_exact,skew_mc,skew_smallsigma
0.03,0.43928025119003095,0.25253252154820366,0.25247485917293455,0.25250820551338016
0.06256410256410257,0.4395989391031344,0.2767708550737251,0.27661711424555757,0.2779503974289688
0.09512820512820513,0.4419058871725337,0.29852255868574684,0.29832284386511554,0.3212937437671601
0.12769230769230772,0.4474275705772088,0.30353369506152644,0.3034892119334439,0.3825382445279539
0.16025641025641027,0.45547086780689905,0.296560813469277,0.2967614536727933,0.46168389971135015
0.19282051282051285,0.46517344704002367,0.28328040674036803,0.2836468388531351,0.558730709317349
0.2253846153846154,0.4759276545236437,0.26706646763485126,0.2676510170182146,0.6736786733459506
0.257948717948718,0.4873327797593666,0.24974452733838526,0.250487180050538,0.8065277917971545
0.29051282051282057,0.49911910708842366,0.23229277618030095,0.23307123717681003,0.9572780646709612
0.32307692307692315,0.5110981728881812,0.21523347822163016,0.2160038548461595,1.1259294919673704
0.35564102564102573,0.5231335679110319,0.19883881792178143,0.19953714361135844,1.312482073686382
0.3882051282051282,0.5351238459155577,0.183240577393097,0.18385059471506063,1.5169358098279955
0.4207692307692308,0.546992225982628,0.16849030210276014,0.1690744343019385,1.7392907003922127
0.45333333333333337,0.558680122569204,0.15459332706996565,0.15520633373859244,1.9795467453790319
0.48589743589743595,0.5701428782760567,0.1415285494963733,0.14215565772432304,2.237703944788454
0.5184615384615385,0.5813468015477075,0.12926017571635404,0.1299241392927518,2.513762298620479
0.5510256410256411,0.5922670052496846,0.11774481419184075,0.11842346839779955,2.8077218068751058
0.5835897435897437,0.6028857579028533,0.10693579862041168,0.10762132410556867,3.1195824695523355
0.6161538461538463,0.6131911794507172,0.0967858252267792,0.09747235947842585,3.4493442866521677
0.6487179487179489,0.6231761811494622,0.08724854483623809,0.08793423339920706,3.797007258174603
0.6812820512820514,0.6328375877547809,0.0782794974675377,0.07891354133182199,4.16257138411964
0.7138461538461539,0.642175402359793,0.06983662921371643,0.07038169221381854,4.5460366644872785
0.7464102564102565,0.6511921871103789,0.061880542497895215,0.06230237041743662,4.947403099277521
0.7789743589743591,0.6598925406015573,0.054374576460105316,0.05467820879701226,5.366670688490366
0.8115384615384617,0.668282657330573,0.04728478026602466,0.04746232764931145,5.803839432125813
0.8441025641025642,0.6763699574575909,0.04057982050013674,0.04063731896296501,6.258909330183864
0.8766666666666668,0.6841627770475369,0.03423084980328487,0.03416207675659689,6.731880382664516
0.9092307692307694,0.6916701103549333,0.028211354716139964,0.02803023402685438,7.222752589567772
0.9417948717948719,0.6989013967981705,0.02249699457236023,0.0222216091874991,7.731525950893627
0.9743589743589745,0.7058663461742255,0.01706543917580627,0.01670988292967952,8.258200466642089
1.006923076923077,0.7125747964533958,0.011896210215803732,0.011447815157366674,8.802776136813153
1.0394871794871796,0.7190365991978922,0.0069705294852348216,0.006430974615854082,9.365252961406815
1.0720512820512822,0.7252615282831751,0.0022711756817601937,0.0016328134189571184,9.945630940423085
1.1046153846153848,0.7312592081738486,-0.002217649298019832,-0.002981967057663995,10.543910073861955
1.1371794871794874,0.7370390585205195,-0.006510444246440547,-0.00738695255697639,11.160090361723428
1.16974358974359,0.7426102523031074,-0.010620522776354491,-0.011601984568760132,11.794171804007505
1.2023076923076925,0.7479816851526201,-0.014560118007134882,-0.015645786022447324,12.446154400714182
1.234871794871795,0.7531619538404567,-0.018340478269155136,-0.019552334850463624,13.116038151843464
1.2674358974358977,0.7581593422358511,-0.02197195437793794,-0.02331389642167731,13.803823057395347
1.3,0.7629818133018951,-0.02546407907078663,-0.02691609497571048,14.509509117369829
