state,n,share,p0_mean,q_cond,skew_cond
atrás,31052,0.20571050016561776,0.4713180250342872,0.13928249388123148,2.0836205408664195
empatado,63980,0.4238489566081484,0.4896069285213715,0.4016098780869022,0.4014089887196887
+1,39419,0.261139450149056,0.5130948090107817,0.7565640934574698,-1.1956682320956376
+2 ou mais,16499,0.10930109307717788,0.5493682054553984,0.9450875810655192,-3.9075465156509113
